labels	text	clf
O O B_PER I_PER O O O O O O O O O B_LOC	В воскресенье Николя Саркози выпустил заявление с осуждением убийства двух французских заложников в Нигере	False
O O O O O O B_PER O O O O O O O O O O O O O O O O O O O O O	В недавнем выступлении по французскому телевидению Саркози выразил мнение о необходимости изменить ситуацию в глобальной экономике , при которой доллар остается главным инструментом расчетов и мировой резервной валютой	False
O O O O O O B_LOC O O O B_ORG I_ORG O	Вашингтонская встреча проходит в канун передачи Франции полномочий главы « Большой двадцатки »	False
O B_PER O O O O O O O O O O O O O O O B_ORG O O O O	Президент Саркози выразил в этой связи надежду на то , что ему удастся за время председательства в G-20 провести целый ряд реформ	False
O O B_LOC O O O O O O O O O O O O O O O B_ORG I_ORG O O O O O O O O O O O	22-летний житель Аризоны , открывший стрельбу , в результате которой пострадали 20 человек , и попытавшийся убить члена Конгресса США , впервые предстал перед судом по обвинению в совершении федерального преступления	False
O O B_PER I_PER O O O O O O O O O O O B_LOC I_LOC	В понедельник Джаред Лофнер в наручниках и в сопровождении нескольких охранников доставлен в суд в города Феникс	False
O O O O O O O O O O O O O O O	Побритый наголо и одетый в тюремную форму , он сказал , что знает свои права	True
B_PER O O O O O O O O O B_LOC	Лофнер предстал перед судом через два дня после стрельбы в Тусоне	False
O O O O O O O O B_ORG I_ORG I_ORG I_ORG O B_LOC I_LOC B_PER I_PER O O O O O O O O O O	Тогда были убиты шесть человек , а член Палаты представителей Конгресса США от штата Аризона Гэбриэль Гиффордс получила ранение и в настоящее время находится в критическом состоянии	False
O O O O O	Были ранены еще 13 человек	True
O O O O O B_LOC B_PER I_PER O O O O O O O O O O O O O O O O O O O O O O O O	В этот же день президент США Барак Обама заявил , что страна и народ до сих пор скорбят и не могут оправиться от шока , вызванного тем , что произошло в субботу	False
B_PER O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O	Обама выступал в Белом доме через несколько часов после того , как по всей стране прошла минута молчания в память о жертвах этого преступления	False
O O O O B_PER I_PER O O B_LOC I_LOC O O O O O O O O B_LOC	Президент и первая леди Мишель Обама задержались в Белом доме , а персонал и посетители собрались на ступенях Капитолия	False
B_ORG I_ORG I_ORG O O O O O O O	Нью-йоркская фондовая биржа и государственные учреждения также почтили память погибших	False
O O O O O O B_PER O O O O O O O O O	Врачи , прооперировавшие и лечащие 40-летнюю Гиффордс , говорят , что они настроены немного более оптимистично	False
O O O O O O O O O	По сообщениям докторов , она реагирует на простые команды	True
O O O O O O O O O O O O O O O O O O	Вместе с тем , они предупреждают , что опасность еще не миновала , хотя состояние их пациентки стабилизировалось	True
O O O O O O O O O O O B_PER O O O O O	В субботу во время встречи с избирателями возле одного из супермаркетов Гиффордс получила пулевое ранение в голову	False
B_PER O O O O O O O	Лофнеру предъявлено обвинение , состоящее из нескольких пунктов	False
O O O O O O O O O B_ORG O O O O O O O O O O O O O O O O O O O O O	Один из них – покушение на политическое убийство члена Конгресса , два пункта – покушение на убийство сотрудника федерального правительства и еще два пункта – покушение на убийство сотрудника федерального учреждения	False
O O B_ORG I_ORG O B_ORG I_ORG I_ORG O O O O O O O O O O O O O O O	Как сообщает Agence France-Presse , Верховный суд Бангладеша снял запрет на издание так называемых фетв — правовых предписаний , основанных на законах ислама	False
O O O O O O O O O O	При этом , однако , на фетвы наложены некоторые ограничения	True
O O O O O O O O O O O O	В частности , их публикация разрешена только « исключительно образованными людьми »	True
O O O O O O O	Что под этим понимается будет разъяснено позже	True
O O O O O O	Исполнение фетв будет носить добровольный характер	True
O O O O O O O O O O O O O O O O O O	При этом , согласно решению , фетвы не могут содержать наказания , сопряжённые с физическим или моральным насилием	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O	Этот пункт связан с тем , что запрет на фетв был наложен в 2001 году именно из-за случаев избиения женщин палками в соответствии с предписаниями старых фетв	True
O O O O O O O O O O O O O O O O O O O	Против запрета выступил ряд религиозных лидеров , аргументировавших свою позицию тем , что фетвы являются неотъемлемой частью исламской культуры	True
O O O O O O O O O O O O O O O O O	Правозащитные организации выступают за полный запрет фетв , поскольку считают , что они часто нарушают права женщин	True
B_LOC O O O O O O O O O O O O	Бангладеш является светским государством , однако 90 % жителей составляют мусульмане - сунниты	False
O O O O O O O O O O O B_LOC O B_LOC O B_LOC	По числу последователей ислама страна занимает четвёртое место в мире после Индонезии , Пакистана и Индии	False
O O B_ORG I_ORG I_ORG I_ORG I_ORG B_ORG O B_ORG O O O O O O	По сведениям Всемирной продовольственной и сельскохозяйственной организации ООН ( ФАО ) , в декабре 2010 г	False
O O O O O O O	цены на продукты питания достигли рекордных уровней	True
O O O O O O O O O O O O O O	Эксперты связывают это с подорожанием сахара , зерновых и сырья для производства растительного масла	True
O B_ORG B_PER I_PER O O O O O O O O O O O O	Экономист ФАО Абдолреза Аббассиан не исключил продолжение тенденции в этом году в случае неблагоприятных погодных условий	False
O O O O B_LOC B_ORG O O O O O O O O O O O O O O O O O O	В ноябре базирующаяся в Риме ФАО , предупредила мировое сообщество о тяжелых последствиях в случае , если производство зерновых в мире не будет увеличено	False
O O O O B_ORG O O O O O O O O O O O O O O O O O O O O O O O O O	В соответствии с прогнозом ФАО , в текущем году цены на импорт продовольствия в глобальном маштабе вырастут на 11 % , а в большинстве развивающихся стран – на 20 %	False
O O O O O O O O O O O O O O O	Тревогу усугубляет тот факт , что именно эти государства испытывают сейчас наибольший дефицит продуктов питания	True
O O O O O O O O O O O O B_LOC O O O O O O O O O O	В 2007 - 2008 годах , беднейшие страны мира , такие как Гаити , были охвачены беспорядками из-за повышения цен на продукты питания	False
O O B_ORG O O O O O O O O O O O O O O O O	Индекс цен ФАО на продовольствие включает рис , пшеницу , кукурузу , сахар , мясо и ряд других продуктов	False
O O O O O O O O O O O O O B_LOC O B_LOC	Специальное судно приступило в субботу к укладке на океанское дно 1600-километрового кабеля от Венесуэлы до Кубы	False
O O O O O	Работы должны занять две недели	True
O O O O O O O O O O O O O O O O O O O O O	Проект ориентировочной стоимостью $ 70 млн откроет жителям острова доступ на информационный суперхайвей , а также улучшит качество международной телефонной связи	True
B_LOC O O O O O O O O O O B_LOC O O O O O O	Куба была отрезана от всемирной паутины кабельных телекоммуникаций в результате наложенного Вашингтоном эмбарго на торговлю с коммунистическим государством	False
O O O O O O O O O O O O	Фирмы , нарушавшие этот запрет , попадали в « черный список »	True
O O O B_ORG I_ORG I_ORG O O O O O O O O O O O B_LOC	В 2009 году администрация президента Обамы смягчило ограничения , открыв возможность для американских компаниий вести дела с Кубой	False
O O O O O O B_LOC O O O O O B_LOC O	Однако предложение одной из телекоммуникационных фирм США о прокладке кабеля получило от Гаваны отказ	False
O B_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O	Представитель Министерства сельского хозяйства Германии сообщил в субботу об обнаружении аномального содержания диоксина в курином мясе , произведенном в этой стране	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	В субботу 8 января в интервью журналистам он заявил , что уровень содержания этого опасного канцерогена в образцах жировой ткани из трех куриных тушек в два с лишним раза выше допустимой нормы	True
O O O O O O O O O O	Ранее на этой неделе диоксин был обнаружен в куриных яйцах	True
O O O O O O O O O O O O	Чиновник подчеркнул , что заражённое мясо не успело попасть на прилавки магазинов	True
O O O O B_LOC I_LOC O O O O O O B_LOC O O O O O O O O O O O O	В тот же день Южная Корея заявила , что вся импортируемая из Германии свинина и мясо птицы будут помещены в карантин для проведения соответствующей проверки	False
O O O O O O O O O O O B_LOC	Российские власти также объявили об ужесточении контроля за мясным импортом из Германии	False
O O O O O O B_ORG I_ORG I_ORG I_ORG O O O O O O O O	Диоксин был обнаружен в продукции немецкой компании Harles und Jentzsch , производящей кормовые добавки для птицы и свиней	False
O B_LOC O O O O O O	Власти Германии уже начали расследование в ее отношении	False
O O O O O O O O O O O O O O O O	Предполагается , что компании было известно о превышении допустимого уровня диоксина еще в марте 2010 года	True
O O O O O O O O O O O O O O O O O	Работа около 5 тысяч немецких ферм , производящих свинину , птичье мясо и яйца , временно приостановлена	True
B_LOC O B_LOC O B_ORG I_ORG O O O O O O O O O	Украина и Турция создали Стратегический совет , позволяющий вывести межгосударственные отношения на новый уровень партнёрства	False
O O O O O O O O B_LOC O O O O O O O O B_LOC I_LOC O B_ORG O B_LOC O B_LOC	До сих пор среди главных стратегических партнёров официального Киева назывались страны , формирующие мировую повестку дня : Соединённые Штаты , Евросоюз , Китай и Россия	False
O O O O O O O B_LOC O B_LOC O O O O O O O O O O O O O O	Динамика хозяйственных отношений в 2010 году между Украиной и Казахстаном позволила аналитикам заявлять о том , что страны строят отношения , близкие к стратегическим	False
O O O B_LOC B_PER I_PER I_PER O O O O O B_LOC O O O B_PER I_PER O O O O O O B_LOC O B_LOC	Во вторник премьер-министр Турции Реджеп Тайип Эрдоган , в ходе визита в Украину договорился с президентом Виктором Януковичем о начале нового этапа сотрудничества между Киевом и Анкарой	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_PER I_PER O B_LOC O O O O O O B_LOC	« На первые пять лет ставим перед собой задачу увеличить товарооборот между нашими странами до уровня десяти миллиардов долларов , а за десять лет поднять его ещё вдвое — то есть до двадцати миллиардов долларов » , — сказал президент Виктор Янукович в Киеве во время совместной пресс-конференции с премьер-министром Турции	False
O O O O O O O O B_PER I_PER O O O O O O O B_LOC O O O O O O B_LOC	Турецкий « десант » В свою очередь , Реджеп Эрдоган подчеркнул , что с официальной делегацией в Украину прибыли около шестисот представителей деловых кругов Турции	False
O O O O O O O O O O O O O O O O O B_PER I_PER	« Это — признак важного шага , сделанного в сторону сотрудничества между нашими странами , — сказал Реджеп Эрдоган	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_ORG I_ORG I_ORG	— Мы хотим , чтобы украинские и турецкие бизнесмены осуществляли общие проекты , а также совместно принимали участие в реализации проектов в третьих странах » , — цитирует слова турецкого премьер-министра пресс-служба президента Украины	False
O O O O O O O O O O O O O O O O	Лидеры двух стран отметили три сферы для развития нового диалога : политическую , торгово-экономическую и гуманитарную	True
B_LOC O O O O O O O O O O B_LOC O O O O O O O O B_LOC I_LOC I_LOC O O O	Турция поможет крымским татарам По итогам встреч на высшем уровне в Киеве не объявлялось , как видится будущее крымско-татарского населения автономной республики Крым в украинско-турецких отношениях	False
O O O O O O O O O O O O O O O B_LOC B_PER I_PER O O B_LOC B_PER I_PER O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG O O O B_LOC B_PER I_PER	Однако о том , что этот вопрос должен был подниматься во время встречи между премьер-министром Турции Реджепом Эрдоганом и президентом Украины Виктором Януковичем , сказал в эксклюзивном интервью Русской службе « Голоса Америки » лидер Меджлиса крымско-татарского народа , народный депутат Украины Мустафа Джемилев	False
O O O O O O B_LOC O O O O O O O O O O O O O O O O O O	« Вчера ночью мы с премьер-министром Турции провели полуторачасовую беседу по проблемам крымско-татарского народа ; о том , как у нас складываются отношения с властью	False
O B_PER I_PER O O O O O O O O O O B_PER I_PER O O O O B_PER I_PER O O	Сегодня Реджеп Эрдоган должен был поднять эту тему в ходе встречи с президентом Виктором Януковичем » , — сообщил Мустафа Джемилев во вторник	False
B_ORG I_ORG O O O O O O O O O O O B_LOC O O O O B_LOC O O O O O O O O O O O B_PER I_PER O O O O O	Голос Америки : Ранее СМИ сообщали , что вы лично передавали письмо президенту Турции , в котором просили Анкару принять программу строительства или выкупа тысяч квартир для крымско-татарского народа … Мустафа Джемилев : Да , всё верно	False
O O O O O O B_LOC O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O	Также в ходе встречи с премьер-министром Турции сегодня ночью я попросил его оказать содействие в строительстве университета в Крыму для нашего народа , улучшить жилищный комплекс уже существующего университета , а также помочь с развитием жилищных проблем крымских татар	False
O O O O	И о многом другом	True
B_ORG I_ORG O O O O O O B_PER O O O O O B_PER I_PER O O O O O O O O O O O O O O O O	Голос Америки : И какова была реакция господина Эрдогана ? Он проявил заинтересованность ? Мустафа Джемилев : Положительная была реакция ! Он сказал , что будет поднимать этот вопрос и принимать меры	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	В ходе встречи он дал конкретные указания — помочь в строительстве двух национальных школ , рассмотреть вопрос о выделения средств для выкупа жилья для репатриантов или строительства нового жилья	True
B_ORG I_ORG O O O O O O O O O O O O O B_LOC O O O	Голос Америки : Может показаться , что в вопросе оказания гуманитарной помощи крымские татары на Турцию возлагают особые надежды	False
O O O O O O O B_PER I_PER O O O O B_LOC I_LOC O O O O O O O O O O	Почему ? Мусульманский мир довольно обширен … Мустафа Джемилев : Во времена могущества Османской империи в регионе мы и турецкая сторона длительное время были союзниками	False
O O O O O B_LOC B_LOC O O O O O O O O O O B_LOC I_LOC	Кроме того , после завоевания Крыма Россией , огромное количество крымских татар вынуждены были переселиться на территорию Османской империи	False
O O B_LOC O O O O O O O O O O O B_LOC	Сейчас в Турции живёт в десять раз больше крымских татар , чем в самом Крыму	False
O O O O O O O O O	В языковом , культурном отношении — мы родственные народы	True
O O O O B_LOC O O O O O	И самое главное — Турция не диктует нам свою волю	False
O O O O	Она безвозмездно оказывает помощь	True
B_ORG I_ORG O O B_LOC O O O B_LOC O O O O O O B_ORG O O O B_PER I_PER O B_LOC O B_LOC O O O O O O	Голос Америки : Для Украины укрепление отношений с Турцией — это фактор улучшения отношений с Евросоюзом или наоборот ? Мустафа Джемилев : Украина и Турция в вопросе евроинтеграции друг другу помогают	False
O O B_LOC B_PER I_PER O O B_LOC B_PER I_PER O O O O O O O O O O O O	Сегодня президент Украины Виктор Янукович и премьер-министр Турции Реджеп Эрдоган объявили принципиальные решения о создании зоны свободной торговли , снятии визовых ограничений	False
O O O O O O O O O O O	Проще говоря , страны делают серьёзные шаги для укрепления межгосударственного диалога	True
B_ORG I_ORG O O O O O B_LOC O O O O O O O B_PER I_PER O O O O B_LOC I_LOC O	Голос Америки : Достаточно ли сегодня у Крыма полномочий для решения своих внутренних проблем ? Мустафа Джемилев : Особых полномочий у крымской автономии нет	False
O O O O O B_ORG I_ORG O O O O O O O O O O O O O O O O	Всё , на что способен парламент Крыма , — решать мелкие вопросы , не связанные с глобальными политическими и экономическими изменениями на полуострове	False
O O O O O O O O O O O O O O O O	В настоящее время у нас сложились достаточно натянутые , скажу мягко , отношения с нынешней властью	True
O O O O O O O O O O O O B_LOC	Сегодня крымская власть — это более 40 % выходцев - управленцев из Донбасса	False
O B_LOC O O O O O O O O	Нынешний Крым для крымско-татарского народа — это как оккупированная страна	False
B_ORG I_ORG O O O O O O O O O O O O O B_PER I_PER O O O O O O	Голос Америки : Вы хотели бы , чтобы в автономии появились более существенные полномочия ? Мустафа Джемилев : В нынешней ситуации — нет	False
O O O O O O O O O O O O B_LOC O O O O O O O O O O O O	Но только в том случае , если бы была восстановлена территориально-национальная автономия Крыма , как это было до депортации 1944 года , тогда другое дело	False
O O O O O O O O O	Тогда официальными языками автономии были русский и крымско-татарские языки	True
O O B_LOC O O B_LOC O O O O O O O	Поскольку сейчас Крым в составе Украины - официальным обязательно должен быть и украинский	False
O O O O O O O O O O O O	Тогда была норма обязывающая обеспечивать представительство коренного народа во всех сферах власти	True
O O O	Сейчас этого нет	True
B_ORG I_ORG O O O O O O O O O O O B_LOC O O O O B_PER I_PER O B_LOC O O O O O B_LOC O O O O O B_LOC O O B_LOC O O O B_LOC I_LOC I_LOC I_LOC	Голос Америки : Спасибо за интервью ! Гагаузы тоже не прочь дружить с Турцией По словам приднестровского аналитика Романа Коноплева , Крым не единственный объект пристального интереса Анкары на постсоветском пространстве : « Турция наравне с Россией является стратегическим партнером Гагаузской автономии Молдавской республики	False
O O O O O O O O B_LOC O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O B_PER I_PER B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	В условиях политической нестабильности и дезинтеграционных процессов в Молдове , гагаузы явно заинтересованы в укреплении связей с родиной предков — относительно стабильной и экономически развитой Турецкой республикой » , — сказал Роман Коноплев Русской службе « Голоса Америки »	False
O O O O O O O O O O O O B_LOC	Он утверждает , что существует ряд амбициозных турецких инвестиционных проектов на территории Гагаузии	False
O O O B_LOC O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O	К тому же Турция делает все возможное , что бы гагаузы не забывали свой родной язык : « В Гагаузии в ходу два языка — свой , гагаузский , по сути старотурецкий , и русский »	False
O O B_PER I_PER O O O O O B_LOC O O O O O O O O O O	По мнению Романа Коноплева , национальную самоидентификацию автономного региона Молдовы можно расценивать как своеобразный механизм защиты против возможной румыно-молдавской интеграции	False
B_PER I_PER O O O O O O O O O O B_LOC	Фернандо Алонсо в первый раз в своей карьере пилота Формулы-1 выиграл Гран-при Монако	False
O O O O B_PER I_PER O O O O B_LOC O B_LOC I_LOC O O O O O O O O O O O O O	В конце субботней классификации Михаэль Шумахер допустил ошибку в повороте Раскассэ ( La Rascasse ) , заблокировав свои колёса и остановившись менее чем в метре от отбойников	False
O O O O O O O O O O O O B_PER I_PER O O O O O B_ORG	Неудачно остановившаяся машина стала помехой для быстрых кругов многих гонщиков , включая Фернандо Алонсо , и это вызвало расследование FIA	False
O O O O B_PER O O O O O O O O O O O O O O O O O O O O O O O O	"Согласно официальному заявлению , Михаэль был наказан "" за неспортивное поведение "" лишением всех своих быстрых кругов и , таким образом , стартовал с пит-лейна с полным запасом топлива"	False
B_ORG I_ORG O O O O O O O O O O O O O O	Команда Феррари не подавала аппеляцию , поскольку применённая статья 112 спортивного регламента запрещает оспаривание этого решение	False
O O O O O O O O O O O O B_PER I_PER O O O O O O O O O O O O O O O O O O	Квалификация стала одной из самых худших за всю историю команды , поскольку Фелипе Масса также был вынужден стартовать с последнего ряда стартового поля , ввиду того , что он разбил свою машину	False
O O B_ORG O O O O O	Оба болида Феррари были выставлены с новыми моторами	False
O O O O O O O O O	Испанец провёл прекрасную гонку , пролидировав большую часть гонки	True
O O O O O O B_PER I_PER O B_PER I_PER O O O O O O O O O O O	Неудача постигла обоих его преследователей - Кими Райкконена и Марка Уэббера , чьи моторы взорвались практически одновременно за 30 кругов до финиша	False
O O O B_PER O O O O	После этого , Алонсо финишировал в гордом одиночестве	False
O O O O O O O O O B_PER I_PER I_PER O B_ORG I_ORG O B_PER I_PER	С огромными отрывами на втором и третьем местах финишировали Хуану Пабло Монтойе из команды МакЛарен-Мерседес и Дэвид Култхард	False
O O O O O B_ORG I_ORG I_ORG	Третье место стало первым подиумом команды Red Bull	False
O O O O O O O O O O O O O O O O O B_PER I_PER O O O O B_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O	"На церемонии награждения призёры не стали принимать традиционный "" душ "" из шампанского , отдавая дань погибшему Эдуард Мишлен , одному из президентов группы компаний Michelin , в составе которой и поставщик шин для Формулы-1 , погибшему за два дня до гонки"	False
